country,latitude,longitude,magnitude,positive,negative,pos/(pos+neg),Most negative title
Seychelles,-4.616666667,55.45,48.12205882352942,8,43,0.1568627450980392,Family Says Belongings Of Man Who Died From COVID At Santa Monica Hospital Stolen
Sierra Leone,8.483333333,-13.233333,50.15976190476191,6,15,0.2857142857142857,6-year-old battling brain tumor gets bedroom makeover
Somalia,2.066666667,45.333333,45.033249999999995,5,15,0.25,Several dead as suicide bomber targets Mogadishu restaurant
South Africa,-25.7,28.216667,54.71941176470589,31,54,0.36470588235294116,"More than 1,100 doses of Pfizer's COVID-19 vaccine are accidentally DESTROYED in Florida"
South Sudan,4.85,31.616667,48.51705882352941,5,12,0.29411764705882354,South Sudan faces 'catastrophic' famine unless conflict ended
Sudan,15.6,32.533333,55.484761904761896,8,13,0.38095238095238093,COVAX posts plan for vaccine supply to poor nations
Swaziland,-26.31666667,31.133333,53.48375,1,7,0.125,Eswatini's Prime Minister dies after testing positive to COVID-19
Tanzania,-6.8,39.283333,48.91916666666666,4,14,0.2222222222222222,Japan: Syringe scarcity threatens vaccination plans
Togo,6.116666667,1.216667,50.0,0,12,0.0,The first COVID-19 vaccine shipment has arrived in Alaska; shots could start Tuesday
Tunisia,36.8,10.183333,44.60473684210526,3,35,0.07894736842105263,Hundreds of Tunisians protest about police abuses
Uganda,0.316666667,32.55,51.85318181818183,7,15,0.3181818181818182,Maimane calls on Twitter to ban Ugandan President Yoweri Museveni
Zambia,-15.41666667,28.283333,57.65266666666666,6,9,0.4,Covid-19: Ministry of Health confirms death of returnee with coronavirus
Zimbabwe,-17.81666667,31.033333,52.864196428571425,16,40,0.2857142857142857,COVID-19 Vaccine: 23 Die Within Days Of Receiving Pfizer
British Indian Ocean Territory,-7.3,72.4,51.452037037037044,7,20,0.25925925925925924,Safety concerns delay vaccine approval in India
