title,desc,date,datetime,link,img,media,site,start date,end date,primary phrase,secondary phrase,full phrase
"20 land borders will reopen on Monday, says Motsoaledi",Beit Bridge is one of the border posts that will reopen on February 15 2021.,8 hours ago,2/13/21 13:37,news.google.com/./articles/CAIiEMw21Tc98wKWJXkucFhG114qMwgEKioIACIQTEiTTGRHVJqjX49E5O90vyoUCAoiEExIk0xkR1Sao1-PROTvdL8wvcbKBg?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/-q38osoYQH0wU3S2dMysHz3yUE7B50fORpxRpUv83bD0yajdPMx5zongsSjtBiFC2DvLH0SJamBzIUTdBb2DwyTP7qnRdZTnqQ=-p-df-h100-w100,,TimesLIVE,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
"COVID-19 LIVE UPDATES | 'Some people say vaccinating the world is not possible, they’re wrong': Tedros Ghebreyesus","A medical worker talks to volunteers as they wait to receive an injection during the country's first human clinical trial for a potential vaccine against the novel coronavirus, at the Baragwanath hospital in Soweto, South Africa, on June 24, 2020.",14 hours ago,2/13/21 7:17,news.google.com/./articles/CAIiEIxP6IuW3tsMFU8y8BgOjjgqMwgEKioIACIQTEiTTGRHVJqjX49E5O90vyoUCAoiEExIk0xkR1Sao1-PROTvdL8wvcbKBg?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/UAM0tUmKeaIbH3MAY_Afq2vcPUgPFJ6-5H0l_pVOX00aJKZwYeJP_C7tVtTBjZ1atcYfY4kTyEhKiiCg16Sgq4yjtFJ_U0vJ4J4=-p-df-h100-w100,,TimesLIVE,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Can AstraZeneca Still Cure Africa's Vaccine Woes?,COVID-19 vaccination efforts in Africa suffered a potentially serious blow after a vaccine developed by Oxford University and AstraZeneca demonstrated only ...,Yesterday,2/12/21 20:48,news.google.com/./articles/CBMiZmh0dHBzOi8vd3d3LndvcmxkcG9saXRpY3NyZXZpZXcuY29tL3RyZW5kLWxpbmVzLzI5NDI0L2Nhbi1hc3RyYXplbmVjYS1zdGlsbC1jdXJlLWFmcmljYS1zLXZhY2NpbmUtd29lc9IBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh6.googleusercontent.com/proxy/qtMn7ri4iI6XKOh48bH8O7AzUeCrcl4al60gkJgwd_lxIFPhUoGBsl_btlMJhXNd45Pi6kIg7CIay7MXA4fsgoVzhLuKOsGUYLXpZ0NORdQttjruy5Bes-LRQeGcQM5rHGdBXXbG2vuBZFLgPMylx74_sQ0=-p-df-h100-w100,,World Politics Review,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
"Coronavirus: 921 new cases, 23 deaths reported as 4,931 more vaccine doses given","'Rate of transmission still extremely high and risks to our vulnerable have not changed,' says Glynn.",Yesterday,2/12/21 18:33,news.google.com/./articles/CBMif2h0dHBzOi8vd3d3LmlyaXNodGltZXMuY29tL25ld3MvaGVhbHRoL2Nvcm9uYXZpcnVzLTkyMS1uZXctY2FzZXMtMjMtZGVhdGhzLXJlcG9ydGVkLWFzLTQtOTMxLW1vcmUtdmFjY2luZS1kb3Nlcy1naXZlbi0xLjQ0ODM0MTDSAYgBaHR0cHM6Ly93d3cuaXJpc2h0aW1lcy5jb20vbmV3cy9oZWFsdGgvY29yb25hdmlydXMtOTIxLW5ldy1jYXNlcy0yMy1kZWF0aHMtcmVwb3J0ZWQtYXMtNC05MzEtbW9yZS12YWNjaW5lLWRvc2VzLWdpdmVuLTEuNDQ4MzQxMD9tb2RlPWFtcA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/GjYt1CkZ3FH4eikmgK1HY0LlrFcd5t8abyVMuFIvwug0zmVAAD-IM5BX-q_EACiQOWfWhbHyd-0X3TNtpbRUbFW8Y9sNbNVE2qpecMfSgGOdBXCxby7ZWsJNFVtz6ZT7WutfZQ_UgvSxUHNXrd-I3uj29MxrO8XPzueP9CPt-QaPgleOxt3CpKlTGP--stmYUg=-p-df-h100-w100,,The Irish Times,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
"Vaccination rollout in nursing homes almost complete, HSE says",Nphet warns it could be six weeks before the number of Covid-19 cases drops below 100 a day.,Yesterday,2/12/21 15:26,news.google.com/./articles/CAIiELvzB9TjbDzYIWebAz5hR40qGQgEKhAIACoHCAowqfqFCzD7v4MDMIO9jQY?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/S7muldj2Dt-CL8-12rTK0YYqE4ajQBSMsmmmyY4FYynVm7WdmagKz0gKDstQSFYAyzC3ySeYtFiR65nxPoY=-p-df-h100-w100,,The Irish Times,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Time for a hesitancy reality check,There has been much negative thought and talk surrounding these Covid-19 vaccines. Conspiracy theories such as Bill Gates wanting to monitor our every ...,Yesterday,2/12/21 12:00,news.google.com/./articles/CBMiaGh0dHBzOi8vd3d3LnJveWFsZ2F6ZXR0ZS5jb20vb3Bpbmlvbi13cml0ZXIvb3Bpbmlvbi9hcnRpY2xlLzIwMjEwMjEyL3RpbWUtZm9yLWEtaGVzaXRhbmN5LXJlYWxpdHktY2hlY2sv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh6.googleusercontent.com/proxy/uDhy4vFIPMbZfdMWpOTp44FVsc4NK9Ob8HmIFjdvFrq6hZvjurvunEr_bA3RtZ4FeP1OxfA_qAfMymiMJzXO5e-vo2RcbUhvuGd17KRWZWVpYPXQT9bFl8B0UedjkZJw55bw_ILWqAV_pSgIgwJBD7fMtOymbEmko0uBos7ml9L8d59cyWg9zc84mgZmX4XToiZkXYYA_GOIqUWEAywCe0Ea_t_L8NpYlCaDNVY=-p-df-h100-w100,,Royal Gazette,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Next Africa: AstraZeneca's Vaccine Findings Set Back a Continent,"Welcome to Next Africa, a weekly newsletter of where the continent stands now — and where it's going next.",Yesterday,2/12/21 11:11,news.google.com/./articles/CAIiEJ5yRJUSK0TljcwAJ3Wevg8qGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/K9SumK237JC-a0WUc85Dl1RRJ939s77tYl-b4KYei_bNzuuRmhI8fjbLChCC09fWjxmArF3zV1G6mvQZDL2u=-p-df-h100-w100,,Bloomberg,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
No uptick in credit demand yet,Survey suggests government is clueless on growing private sector,2 days ago,2/11/21 13:37,news.google.com/./articles/CAIiENxzz1k9y6AqyxrRT3U3o0cqGAgEKg8IACoHCAowi4O1ATD18Qwwm5bQBQ?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/UJDG2VPIvHbS03_qgvZpAzeaZ45x5YWBGII2zNzRSLqYc4mKJA8G82VM9qK45yb74BCW9lLBE-MDYyoRkvU=-p-df-h100-w100,,Namibia Economist,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Medical aid funds to foot vaccine bill,"MEDICAL aid funds will pay for the Covid-19 vaccine on behalf of their members, said Namibian Association of Medical Aid Funds (Namaf) chief executive ...",2 days ago,2/11/21 10:05,news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3Lm5hbWliaWFuLmNvbS5uYS85ODg0Mi9yZWFkL01lZGljYWwtYWlkLWZ1bmRzLXRvLWZvb3QtdmFjY2luZS1iaWxs0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh6.googleusercontent.com/proxy/kotAmGJ63jjbnltbbfX91I-iDNmh4CSNIITq6T6OPbuOdkhqgX4e4ZQ1snxMoLWEZsIcbgqE-HhqNjYd_xjJzNGlil8clXS5ioJGmIQSNwvrQZg9hkyvaDT0ugHzJRkFbP7Q3s-4mK_dwwU=-p-df-h100-w100,,Namibian,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Five countries that could be added to the UK 'red list',"The spread of the variants – confirmed, suspected and hypothetical – is key.",3 days ago,2/10/21 14:49,news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LnRlbGVncmFwaC5jby51ay90cmF2ZWwvbmV3cy9maXZlLWNvdW50cmllcy1jb3VsZC1hZGRlZC11ay1yZWQtbGlzdC_SAVNodHRwczovL3d3dy50ZWxlZ3JhcGguY28udWsvdHJhdmVsL25ld3MvZml2ZS1jb3VudHJpZXMtY291bGQtYWRkZWQtdWstcmVkLWxpc3QvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,https://lh4.googleusercontent.com/proxy/W2JqYWbbFAzIZd_W9-LFOLToOL7ErUGY1sp9IRZUiaffKihFKodcnYgs8N3U_29YwscKkFMeEYcdQaAN6k42NcAYxDpU1BFSdPFnqMG9SCUaFYa-jdCExy7jJQf51dUit6PuEkxwXTx9DGfTLjhPPvdvAy_FrDpVxsduW2KD3feI6Wr2-ry8wUiMIuZ9BkFi5qE7H5RC8fyDPu3R1BQgUw_b6pKr1UF6=-p-df-h100-w100,,Telegraph.co.uk,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
"South Africa scraps AstraZeneca vaccine, will give J&J jabs","South Africa scraps AstraZeneca vaccine, will give J&J jabs | Africa – Gulf News",4 days ago,2/10/21 9:18,news.google.com/./articles/CAIiEE_lmBvq6JAUMUOkhO75vUwqGAgEKg8IACoHCAowqbqfCTDvjG8wkJGxBg?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/WQzxUwiJG163oigDwTGL2Iu4ahAoK9Up-CQz-b-Yq-AHSs8BvfyMzKxRk3sY7Uc0MLTLWsmxjVmV774UcaZo=-p-df-h100-w100,,Gulf News,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Coronavirus: Trudeau says 'tens of thousands' of Pfizer COVID-19 vaccine doses arriving in Canada this week,"Speaking to reporters outside Rideau Cottage in Ottawa, Ontario on Tuesday, Canadian Prime Minister Justin Trudeau said that ""tens of thousands"" of Pfizer ...",4 days ago,2/9/21 19:19,news.google.com/./articles/CBMiUGh0dHBzOi8vY2EubmV3cy55YWhvby5jb20vY29yb25hdmlydXMtdHJ1ZGVhdS1zYXlzLXRlbnMtdGhvdXNhbmRzLTE5MTkzMDQxNC5odG1s0gFYaHR0cHM6Ly9jYS5uZXdzLnlhaG9vLmNvbS9hbXBodG1sL2Nvcm9uYXZpcnVzLXRydWRlYXUtc2F5cy10ZW5zLXRob3VzYW5kcy0xOTE5MzA0MTQuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/nh5eEhHRbDulopgyRLTrLYLgHeTzgjBDHEA9w9z9KYTCCX4OrOzmVsikAg4gP5J69B8xkbd_DcXo7ShY-w2LuFun1jfJsTqmHpcv0aU_LFBSY0h0PyTljBMZ1ETawELKd2wYkF2qkev3siBXZlBhSBNCrGeVOfTB6nrReNvKFOKmujrgBrVVhZoxoISWR2wk=-p-df-h100-w100,,Yahoo News Canada,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
COVID-19 vaccines - what we know now,"There are a few in use and a few more in the pipeline, but everyone wants them and they're in short supply.",6 days ago,2/7/21 16:41,news.google.com/./articles/CBMiTWh0dHBzOi8vbmFtaWJpYWZhY3RjaGVjay5vcmcubmEvbmV3cy1pdGVtL2NvdmlkLTE5LXZhY2NpbmVzLXdoYXQtd2Uta25vdy1ub3cv0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/EQOtidyh1G85ZiMmsg8fr9VSk76ginout0uqF0Qwt6FucOEyJxqraTtwmh63qAMYFO1xmxDcqIApthAQiCi5SoTy8uc5uniTee87IALkk-CahdkFdovPK9LQVpdw-fXYNnHu4Bb5xS4quiwTqOwg-CyU06g2qTL4l9zf3CPoTyZ3-zMKt137-lySiEBnHxXL1bMgR5RQYBHrN-hcorP2BhA7Zc8_VDtxEm50I1ok8Q=-p-df-h100-w100,,Namibia Fact Check,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
A Covid-19 vaccine apartheid would endanger us all,"This story was first published by the Bureau of Investigative Journalism, a nonprofit newsroom based in the UK. Senam Agbesi has been trying to make the best ...",8 days ago,2/6/21 8:01,news.google.com/./articles/CAIiECjGHIfXRkqvbfLO8PgatQwqGAgEKg8IACoHCAowi4-MATDXsRUwhP2ZAg?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/tjv5ZrFsJFOhrGguYsxZtsIjpCM7NiFmXHUoLuGkuoM7CCChKQrGH4iXQQd1yTnLJof41ybyIKDx3nlh5Es=-p-df-h100-w100,,Quartz,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Namibia to receive 127 000 vaccine doses,NAMIBIA is set to receive at least 127 200 doses of the AstraZeneca/Oxford Covid-19 vaccine through the Covax facility by the middle to the end of this month.,8 days ago,2/5/21 11:01,news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3Lm5hbWliaWFuLmNvbS5uYS85ODY0Ni9yZWFkL05hbWliaWEtdG8tcmVjZWl2ZS0xMjctMDAwLXZhY2NpbmUtZG9zZXPSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh4.googleusercontent.com/proxy/jftAP0zW9I8qh6rqmYRwE7HE3Bb8jCCo6s1TR5FdKtQKaysbDiir-3KVdRIaTvhM5vmDE28oha0KsjzqIwUjm7O6kpDLGOKy4Z8_5cF-gLEaQm8LyyELhuLzc32mvg-WZEljm3IdRhcpnMnC=-p-df-h100-w100,,Namibian,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Namibia's Covid-19 vaccine delayed,"NAMIBIA missed its Covid-19 vaccine arrival date, and specialty physician Ismael Katjitae yesterday said the expected arrival of the Pfizer-produced vaccine ...",11 days ago,2/3/21 8:00,news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3Lm5hbWliaWFuLmNvbS5uYS85ODU5MC9yZWFkL05hbWliaWFzLUNvdmlkLTE5LXZhY2NpbmUtZGVsYXllZNIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/sPFeVdP4nJbfyi8zx0QXjZjEAQCqgvAt9Wcp43OO-YfMby1JWT3poBxXRT0cgyAgemU2GbHtU9ZcKBuynoADclmw3TX_TSp96L4NSgIo-qE34dwN2TbX7PpbQrwMXaNNgcuUS0jy=-p-df-h100-w100,,Namibian,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
COVAX releases country-by-country vaccine distribution figures,"Countries involved in the COVAX Facility, the global initiative aimed at equitable access to COVID-19 vaccines, now know how many doses of Pfizer-BioNTech ...",11 days ago,2/3/21 8:00,news.google.com/./articles/CBMiX2h0dHBzOi8vd3d3LmRldmV4LmNvbS9uZXdzL2NvdmF4LXJlbGVhc2VzLWNvdW50cnktYnktY291bnRyeS12YWNjaW5lLWRpc3RyaWJ1dGlvbi1maWd1cmVzLTk5MDU40gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh6.googleusercontent.com/ez8ofKHKxxiw53f4vkR4EtqVlOxZciSs-gm94rPZLqLQcWQjk0DuU50kAIegQ-MB5KnrLFkO_yxwypaa1I4wNsw0Mxyqt-nMvcHS4dVISyus5d26F21lHZMbfdCUdPMXMPdZ3Dwz=-p-df-h100-w100,,Devex,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Latest numbers: SA will get 1% of early Covax shots – but 10% of all Pfizer doses,"Pfizer's Covid-19 vaccine requires ultra-low temperatures, and the global split of vaccines is pointing a disproportionate number of them to South Africa – though ...",11 days ago,2/3/21 8:00,news.google.com/./articles/CBMiggFodHRwczovL3d3dy5idXNpbmVzc2luc2lkZXIuY28uemEvZWFybHktY292YXgtYWxsb2NhdGlvbnMtc2hvdy1hLXByZXBvbmRlcmFuY2Utb2YtcGZpemVyLWNvdmlkLTE5LXZhY2NpbmVzLWZvci1zb3V0aC1hZnJpY2EtMjAyMS0y0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/g0K5AyByR0Y8by_caSsm_mPGQzCI2Z1n3L7akziHaHKfRy92ZRAaxMyFAkgldCdgWaZ68zTdqdvFEXm3AFRvvEPFAX8MIVzfyrL5Ark7HdO-7IBMTXroh_JlBCGeg9LcoWpJA67BumMDEzHvhyw=-p-df-h100-w100,,Business Insider South Africa,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
South Africa welcomes first delivery of COVID-19 vaccines,"South Africa gave a hero's welcome to the delivery of its first COVID-19 vaccines, a million doses of the AstraZeneca vaccine produced by the Serum Institute of ...",31-Jan,2/1/21 8:00,news.google.com/./articles/CBMiWGh0dHBzOi8vYWJjbmV3cy5nby5jb20vSGVhbHRoL3dpcmVTdG9yeS9zb3V0aC1hZnJpY2EtZGVsaXZlcnktY292aWQtMTktdmFjY2luZXMtNzU2MDg1NjTSAVxodHRwczovL2FiY25ld3MuZ28uY29tL2FtcC9IZWFsdGgvd2lyZVN0b3J5L3NvdXRoLWFmcmljYS1kZWxpdmVyeS1jb3ZpZC0xOS12YWNjaW5lcy03NTYwODU2NA?hl=en-US&gl=US&ceid=US%3Aen,https://lh6.googleusercontent.com/proxy/ozj-Y2y6iakd58ea5JPYb6OrsRuvkB7KX7gjE-hSmULKN5VTcGLjSWxmGKiYaRIEWk4xsoQghuan4qcExY6P7sT_gqHaKG7e-q__PbDtPuDBDgc7g_GODgBrATHcS1pZao1r3lTw2UYE9pdU2qQNxSj7In8=-p-df-h100-w100,,ABC News,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Countries on UK travel 'red list' have ten times lower Covid case rates than Britain,"The seven-day case rate in the UK is 294.7 per 100000 people; for Rwanda, added to the red list yesterday, it is just 18.2.",28-Jan,1/29/21 8:00,news.google.com/./articles/CBMiZWh0dHBzOi8vd3d3LnRlbGVncmFwaC5jby51ay90cmF2ZWwvbmV3cy9jb3VudHJpZXMtdWstdHJhdmVsLXJlZC1saXN0LWhhdmUtdGVuLXRpbWVzLWxvd2VyLWNvdmlkLWNhc2Uv0gFpaHR0cHM6Ly93d3cudGVsZWdyYXBoLmNvLnVrL3RyYXZlbC9uZXdzL2NvdW50cmllcy11ay10cmF2ZWwtcmVkLWxpc3QtaGF2ZS10ZW4tdGltZXMtbG93ZXItY292aWQtY2FzZS9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,https://lh5.googleusercontent.com/proxy/bYfOh4Yi76MJ_Gh4d5Ml_Bo8cJP-KyJKPSwtuRjIXSyEeg67E12NfAOjYJKvDQvD4mmyHIcTdChWehXsd7anUKFi9OxKv_crd3jv-ZP_EJCGjNOtOwgk-4oo86I0PMcFJfpw0x-4cDyZPqOQ5nvH1l3v3800tRcSijL5DMp0QkBhybcf2aJ0ttz4uSEBXOtlsln2Nkxy8_Ny2e4s8kRu8xe19YGk6_kdQKBKgyA=-p-df-h100-w100,,Telegraph.co.uk,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
No need to fear Covid-19 vaccine,NAMIBIANS living abroad who have been vaccinated against the novel coronavirus are urging their fellow countrymen to be immunised once the vaccine arrives ...,25-Jan,1/26/21 8:00,news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3Lm5hbWliaWFuLmNvbS5uYS85ODM3Ni9yZWFkL05vLW5lZWQtdG8tZmVhci1Db3ZpZC0xOS12YWNjaW5l0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh6.googleusercontent.com/proxy/Xaz2OpbNNikQFgu0A7CnJzlyYE8bQwW6RC0iWkcE4HKZaDIas1EvbppYdXhPXnpugzLeFQg1Tp6CyffhuX9-xGzW3C9RabmhIVFgifk42y_lOaRDXVHGUvSSkIke4gyi-f49vQ9485Wt1UguGiovGJwlok0u7es=-p-df-h100-w100,,Namibian,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
WHO contradicts Shangula on vaccine arrival,"THE first 30 million doses of the Covid-19 vaccine will only be distributed in Africa in March this year, Dr Matshidiso Moeti, the World Health Organisation's ...",21-Jan,1/22/21 8:00,news.google.com/./articles/CBMiUmh0dHBzOi8vd3d3Lm5hbWliaWFuLmNvbS5uYS85ODI2MC9yZWFkL1dITy1jb250cmFkaWN0cy1TaGFuZ3VsYS1vbi12YWNjaW5lLWFycml2YWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh6.googleusercontent.com/proxy/que4n-wURnXS4-MCzoASzBUKvPZDNegL3X-5-TnC0t7ipz5bx08Iek7v8E5N0kQdkKWV5lzCrt19hbKaHGoZcHVI55ejqF6HUaFIiZY_taqCbBgeWR4vu873gh32ZSanBOCV=-p-df-h100-w100,,Namibian,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
"Namibians share virus vaccination experience - Truth, for its own sake.","While the country is still waiting for the arrival of the first batch of Covid-19 vaccine, Namibians abroad have shared their experience of receiving the first jab.",21-Jan,1/22/21 8:00,news.google.com/./articles/CBMiSGh0dHBzOi8vbmV3ZXJhbGl2ZS5uYS9wb3N0cy9uYW1pYmlhbnMtc2hhcmUtdmlydXMtdmFjY2luYXRpb24tZXhwZXJpZW5jZdIBAA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/zIBvgPR1jTyPl_VIUblsw3QoEyxVWfueoWF_rI6Y7ap2_FGFXC33rYkAYJDplJgcysvrhuH_KAPipqtsHsjaI-ABPpmBLF0f0jPZtFRYI7YbDEGVWfjDy_g9=-p-df-h100-w100,,New Era,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Pfizer vaccine: Should you get it?,"THE Pfizer-BioNTech Covid-19 vaccine, which, if all goes according to plan, will arrive in Namibia by the end of this month, should be safe for most people.",17-Jan,1/18/21 8:00,news.google.com/./articles/CBMiR2h0dHBzOi8vd3d3Lm5hbWliaWFuLmNvbS5uYS85ODEyNS9yZWFkL1BmaXplci12YWNjaW5lLVNob3VsZC15b3UtZ2V0LWl00gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh4.googleusercontent.com/proxy/ZxdCrHuWDheEqUdlt9hQQ8ooSPRp3CiDRaShwqc9u6_9ouEn_5vAIay13XAfFDPoDqO18fqSZHyp54ExisElxkVNfBIbHUSjfOF3qiSWS7e4iBLxptrcCBeMyxuv17AFDSSjInjAGgk1cp0h=-p-df-h100-w100,,Namibian,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Covid-19: Namibia to get AU vaccines,CHARMAINE NGATJIHEUE and SHELLEYGAN PETERSEN NAMIBIA will soon receive an additional consignment of Covid-19 vaccines procured for all 54 ...,17-Jan,1/18/21 8:00,news.google.com/./articles/CBMiSmh0dHBzOi8vd3d3Lm5hbWliaWFuLmNvbS5uYS85ODExNi9yZWFkL0NvdmlkLTE5LU5hbWliaWEtdG8tZ2V0LUFVLXZhY2NpbmVz0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/xcIg4goKr-Wn0K_2XVm7GPGRiuUDi7N2oDLSWlaoJAhZl2CgVwJI-Qa1nlW-Bew-CSaosuTxu6qS1BNsYuoxHqFBYG3MI0p7eOUhjeESwVSNzaEh3VKPvp9c_gt3DBIhhZOIMS0O-EWjarDQ72Okz6XM=-p-df-h100-w100,,Namibian,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Covid-19 vaccine coming,CHARMAINE NGATJIHEUE and SHELLEYGAN PETERSEN NAMIBIANS can expect the first doses of the novel coronavirus vaccine to arrive by the end of the ...,13-Jan,1/14/21 8:00,news.google.com/./articles/CBMiPmh0dHBzOi8vd3d3Lm5hbWliaWFuLmNvbS5uYS85ODAxOC9yZWFkL0NvdmlkLTE5LXZhY2NpbmUtY29taW5n0gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh6.googleusercontent.com/proxy/jLLxyVE5YZqGP43Yq9n7z_extD8WzbLg74Z0NJhRwsyCBgNBentxQ-cn1TIkrd9MABN-JS3LYJ0Ai1sIubrKRe5yNbvnEtWYyRCLOv52cR8QbEi0vlvNnSuwcJLQQmPG8Q-aS3wSFkB_vQ=-p-df-h100-w100,,Namibian,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Namibia makes progress in acquiring Covid-19 vaccines,"Rustenburg – Namibia has made progress in preparation to acquire suitable Covid-19 vaccines, Health Minister Dr Kalumbi Shangula said on Wednesday.",13-Jan,1/13/21 18:57,news.google.com/./articles/CAIiEFILKKC5aELg4cvd2F9eqQoqGQgEKhAIACoHCAow4c2JCzC4uZsDMO7BoQY?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/VJo7dg7K5eTskYDLI6152LdmK3mcukJVuQnZmtkUnpA8eLPtHM-HVuYVYEXokWsp2qYmzgCwDFzIs4LpSiI=-p-df-h100-w100,,IOL,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
COVID-19 vaccine expected to be delivered end of January,"Namibia has entered into bilateral negotiations with Pfizer pharmaceutical company, China, Russia and India for additional COVID-19 vaccines.",12-Jan,1/13/21 8:00,news.google.com/./articles/CBMiUGh0dHBzOi8vd3d3Lm5iYy5uYS9uZXdzL2NvdmlkLTE5LXZhY2NpbmUtZXhwZWN0ZWQtYmUtZGVsaXZlcmVkLWVuZC1qYW51YXJ5LjM5ODU00gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/dH_-Tnp49P2MV_0QO6iJ-VSGEFXHPwQ95YcFndYkmMewpIKdncBzkSB91pG788WWGLpv2prahdAl8BReCIaSuTnvNuYw66poBpxy3TU4jtxwUE1Gr6bayg1DUe8FwolchkBOh9o2xTjcpyI0969L=-p-df-h100-w100,,nbc.na,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
Can You Still Spread Covid-19 After You Get Vaccinated?,Wilfredo Lee/Associated Press,11-Jan,1/11/21 15:31,news.google.com/./articles/CAIiEKuy10afLGWz2Cg1EQgkrYwqGAgEKg8IACoHCAow1tzJATDnyxUwxcrPBg?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/7hEzwSxRnKsNKl5eVUqJb7XRUG1t-I0MIyLMMgoE9Lza3CdyZEPnN4CroUjqgPJLa2TKxbYDON---avLpAg=-p-df-h100-w100,,The Wall Street Journal,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
"As COVID-19 Cases Surge, Nigeria Plans to Get First Batch of Vaccines by 'End of the Month'",National Cancer Institute/Unsplash,6-Jan,1/7/21 9:51,news.google.com/./articles/CAIiEJnUqfhrdW4hdHLE_UrFJ6wqGQgEKhAIACoHCAowyduXCzD7hK8DMNTCzQY?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/0tSpo5NsNFqA4IA8LbfXi8p79V12ghGJqX469jELfel8sfrmT0g9Z3oiyvZm-hDVPzssr82a1vUIqFcUsZA=-p-df-h100-w100,,Global Citizen,8/1/20,9/1/20,Pfizer Vaccine,Namibia,Pfizer Vaccine Namibia
